text,iab_label,confidence
general motors tells dealers halt sales chevy cruzes,IAB2 Automotive,0.42
sp smallcap 600 index june 2 2014,IAB12 News,0.16
samsung introduces galaxy k zoom photo enthusiasts,IAB9 Hobbies & Interests,0.29
kate middleton bild nsfw photo bare bottom published german magazine,IAB18 Style & Fashion,0.09
gundlach teslas musk get car business tsla,IAB3 Business,0.44
att eyes 100 cities superfast internet,IAB20 Travel,0.12
lindsay lohan sues makers grand theft auto v,IAB2 Automotive,0.59
review true detective watch cosmos,IAB15 Science,0.32
researchers study food marketing creates false sense health,IAB15 Science,0.4
pregnant mila kunis reveals food cravings pickles,IAB6 Family & Parenting,0.19
phones armed antitheft features,IAB20 Travel,0.1
nasas abandoned space probe restarted successfully,IAB20 Travel,0.37
us plans unleash irs russian banks,IAB3 Business,0.18
johnny depp johnny depp busted police electric sports car,IAB17 Sports,0.63
craig ferguson late late show exit decision go,IAB12 News,0.23
transsexual model ava sabrina london tells paid sexual,IAB4 Careers,0.18
wednesday apple rumors 55inch iphone 6 debut delayed 2015,IAB19 Technology & Computing,0.27
general motors safety agency faces congress faulty ignition switch recalls,IAB2 Automotive,0.27
josh elliott leaves good morning america,IAB12 News,0.4
youtube acquire twitch 1 billion report,IAB12 News,0.15
collapse lets gowex epaalgow jackpot short sellers,IAB12 News,0.11
kim kardashian responds wedding rumours,IAB12 News,0.32
matt lauer sticking today,IAB12 News,0.25
samsung galaxy s5 vs samsung galaxy s4 specs,IAB19 Technology & Computing,0.14
rats rampage louvre museum paris,IAB1 Arts & Entertainment,0.26
scandal star columbus short divorce allegedly threatened kill,IAB12 News,0.33
rumor sony working playstation network nick change option ps4 video,IAB19 Technology & Computing,0.27
david letterman gets visit successor stephen colbert,IAB1 Arts & Entertainment,0.13
busted book coming tv sarah jessica parker starring,IAB1 Arts & Entertainment,0.2
marathon petroleum buy buys hess unit 26bn,IAB3 Business,0.4
threeparent babies inch closer winning uk approval,IAB6 Family & Parenting,0.49
article requested cannot found please refresh browser go back,IAB24 Uncategorized,0.35
ecig industry awaits looming federal regulation,IAB19 Technology & Computing,0.55
sec charges hedge fund adviser conducting conflicted transactions,IAB3 Business,0.27
russian spacecraft arrives space station,IAB20 Travel,0.51
flaming lips blonde superfreak steals magic brain ft miley cyrus,IAB19 Technology & Computing,0.14
german jobless total falls april,IAB4 Careers,0.16
lawmaker accuses gm criminally deceiving govt,"IAB11 Law, Gov’t & Politics",0.36
malaysia releases raw satellite data missing mh370 experts doubt,IAB12 News,0.19
happy times portadown college,IAB5 Education,0.16
gold silver copper futures weekly outlook march 10 14,IAB12 News,0.14
starlord company,IAB3 Business,0.46
india worlds polluted cities,IAB24 Uncategorized,0.18
us jobless aid applications rise 302000 ktvn channel 2 reno tahoe,IAB12 News,0.23
hollywood desperately needs shailene woodley,IAB1 Arts & Entertainment,0.29
microsoft shedding jobs let 18000 go,IAB19 Technology & Computing,0.33
phenomenal woman maya angelou dies,IAB12 News,0.2
new vaccine traps malaria blood cells,IAB12 News,0.39
miley meets flaming lips inside unlikely collaboration,IAB1 Arts & Entertainment,0.14
shares twitter fall 10 slowdown user growth,IAB12 News,0.09
omg justin bieber selena gomez indulge passionate kiss old picture,IAB1 Arts & Entertainment,0.26
gay dads brain activity pattern resembles new mothers fathers,IAB6 Family & Parenting,0.4
try fix chris martin keen work marriage gwyneth,IAB9 Hobbies & Interests,0.29
amazing spiderman 2 debuts 92 million,IAB1 Arts & Entertainment,0.43
lg g watch samsung gear live get first update,IAB19 Technology & Computing,0.24
heart bleed bug update chase boa citigroup irs affected,IAB3 Business,0.26
microsoft owns nokia phone business,IAB3 Business,0.56
let flow texas produces third us crude oil,IAB3 Business,0.36
seth macfarlane albert million ways die west photo credit,IAB20 Travel,0.21
voice 2014 elimination recap favorite ousted rocker redeemed,IAB1 Arts & Entertainment,0.1
casey kasem wholesome voice pop radio dies 82,IAB1 Arts & Entertainment,0.12
coke drop controversial ingredient beverages,IAB24 Uncategorized,0.31
lady gaga enlisted californias drought relief efforts,IAB12 News,0.16
hampton roads 22 fittest cities list,IAB18 Style & Fashion,0.2
kardashian working every day leadup wedding,IAB12 News,0.17
tricks samsung galaxy s5 might know,IAB19 Technology & Computing,0.19
updated debris spotted could missing malaysian plane,IAB12 News,0.47
south african antiapartheid author nadine gordimer dies aged 90,IAB12 News,0.11
lg g3 announced may 27 production started 10 million sales target,IAB3 Business,0.15
uk july manufacturing growth slows trails expectations,IAB3 Business,0.29
em asia fxasia currencies firmer yuan steadies rupee shines,IAB3 Business,0.21
android leader sundar pichai says wearable sdk coming two weeks,IAB19 Technology & Computing,0.49
dow finishes 17000 strong payrolls report,IAB3 Business,0.35
comedies another trip oz compete spidey,IAB20 Travel,0.59
texas energy future holdings files chapter 11 reorganization plan cut,IAB3 Business,0.25
rail workers strike philadelphia,IAB20 Travel,0.3
tuesday march 25 2014 0723,IAB12 News,0.12
us may soon begin exporting crude oil,IAB3 Business,0.18
kanye west cheating kim kardashian pia mia kim responsible,IAB12 News,0.18
uae makes plans send unmanned probe mars 2021,IAB15 Science,0.24
dwts amy purdy prosthetic legs advantages,IAB18 Style & Fashion,0.1
prince releasing two new soulful albums fall everythings ok,IAB1 Arts & Entertainment,0.32
full lunar eclipse visible across sd tonight,IAB20 Travel,0.12
aaa july 4th travel new england nation explodes year,IAB20 Travel,0.68
consumers dip mortgage rates followed rise,IAB13 Personal Finance,0.4
fcc chair wants know think internet fast lanes,IAB19 Technology & Computing,0.21
extreme weather virtually impossible without manmade warming,IAB12 News,0.24
att compete google fiber sa,IAB19 Technology & Computing,0.36
german ifo wake eurusd slumber,IAB24 Uncategorized,0.16
irreversible damage done coral reefs arctic ice global warming blame,IAB12 News,0.14
un climate change poses growing health threat,IAB24 Uncategorized,0.26
new hunger games mockingjay teaser trailer propaganda,IAB1 Arts & Entertainment,0.31
russia cuts gas ukraine kiev says enough reserves till december,IAB12 News,0.12
microsoft ends support windows xp april 8 atms india yet,IAB19 Technology & Computing,0.31
india cbank chief says rupee gains 4550dlr would hit exports,IAB3 Business,0.19
canadas unemployment rate drops july mere 200 new jobs,IAB12 News,0.2
zac efron punched hanging rough area downton los angeles,IAB24 Uncategorized,0.11
kristen stewart glimmers cannes festival promote clouds sils maria,IAB1 Arts & Entertainment,0.29
comiccon 2014 highlights,IAB1 Arts & Entertainment,0.18
honda mazda nissan recall 3m vehicles airbag problems,IAB2 Automotive,0.6
la company settles medicare fraud allegations,IAB3 Business,0.36
samsung ready dick tracy watchphone,IAB19 Technology & Computing,0.24
photo hubble captures colorful view universe,IAB24 Uncategorized,0.08
crowdfunding helps get veronica mars big screen,IAB1 Arts & Entertainment,0.43
consumer borrowing credit card use falls,IAB13 Personal Finance,0.41
tesla model x suv arriving 2015 gullwing doors,IAB2 Automotive,0.56
rolling stones cancel perth show jagger releases statement lwren scott,IAB1 Arts & Entertainment,0.26
west nile virus detected stanislaus county,IAB12 News,0.17
59 facebooks ad revenues q1 2014 mobile ads,IAB3 Business,0.16
borninboulder wild oats brand relaunch walmart stores,IAB8 Food & Drink,0.24
disney puts captain america 3 collision course superman,IAB1 Arts & Entertainment,0.61
apple ibms alliance means government,IAB14 Society,0.18
gas prices jump western mass,IAB12 News,0.21
pfizer shouldnt put away checkbook,IAB16 Pets,0.43
economy continue grow slowly,IAB3 Business,0.37
cdc director releases afteraction report recent anthrax incident,IAB12 News,0.25
ge reports higher q2 earnings costcutting,IAB3 Business,0.32
us consumer prices rise year,IAB12 News,0.13
transcendence character really live internet,IAB20 Travel,0.16
gas prices jump nine cents gallon 2 weeks,IAB12 News,0.13
gamestop q1 gives investors clear sign gme msft sne,IAB3 Business,0.21
amid cuts amgen add jobs cambridge,IAB3 Business,0.2
watch 9 september iwatch launch,IAB19 Technology & Computing,0.19
review earth echo 12,IAB24 Uncategorized,0.1
star wars episode vii adds two names cast list,IAB1 Arts & Entertainment,0.19
justin bieber apologizes making racist joke video,IAB12 News,0.18
bond yields highs rbis liquidity steps,IAB24 Uncategorized,0.11
ariana grande releases newest single break free listen new,IAB1 Arts & Entertainment,0.34
new protein may play role alzheimers disease study finds,IAB15 Science,0.38
rolf harris takes witness stand trial defend sex abuse charges,IAB12 News,0.2
censorship hk protests blamed online outages china,IAB24 Uncategorized,0.13
allergan swallows poison pill 46b valeantackman bid,IAB3 Business,0.46
walking dead cannibals,IAB24 Uncategorized,0.26
game thrones director explains didnt see book epilogue,IAB1 Arts & Entertainment,0.31
nadella touts new opportunities unveils skype translation,IAB3 Business,0.13
big thanks relay city,IAB20 Travel,0.11
jobless claims drop lowest since 2006,IAB12 News,0.19
ahead bell us manufacturing survey,IAB3 Business,0.57
piketty offers simple explanation phenomenon,IAB16 Pets,0.18
vp argentina arrives cuba official visit,IAB20 Travel,0.25
elsa pataky chris hemsworth share first photo infant twins,IAB6 Family & Parenting,0.33
pilots blamed asiana crash san francisco left 3 dead 187 injured,IAB12 News,0.21
samuel l jackson michael madsen read quentin tarantino axed script,IAB1 Arts & Entertainment,0.12
lg play key role android auto joins oaa,IAB2 Automotive,0.42
global warmingclimate change debate getting interesting,IAB12 News,0.29
miley cyrus postpones remaining us tour dates bright side takes duck,IAB20 Travel,0.5
apple launches cheaper iphone 5c,IAB19 Technology & Computing,0.23
unicef fundraising effort gives star wars fans chance cameo episode vii,IAB5 Education,0.39
ifo first test eur danske bank,IAB3 Business,0.46
samsungs graphene breakthrough important flexible devices,IAB19 Technology & Computing,0.42
dirty money microbial jungle thrives wallet,IAB24 Uncategorized,0.14
dow analyst moves vz,IAB12 News,0.16
net neutrality explained big threat open internet,IAB24 Uncategorized,0.18
biz break tesla settles model fire new york sales issues stock rebounds,IAB3 Business,0.8
fuel removal project halted japans fukushima plant,IAB12 News,0.18
american airlines us airways remove fares orbitz amid booking fee feud,IAB20 Travel,0.29
goodeye software releases new windows phone 8 app rain,IAB19 Technology & Computing,0.22
apple ipad air specs rumors update air 2 release date early,IAB19 Technology & Computing,0.34
apple unleashes new powerful commercial iphone 5s news,IAB12 News,0.37
drone unveiled take highangle selfies,IAB24 Uncategorized,0.11
miley cyrus dedicates vmas speech las homeless youth,IAB1 Arts & Entertainment,0.31
keri russell andy serkis unbelievable,IAB24 Uncategorized,0.14
frozen star bell pregnant,IAB6 Family & Parenting,0.16
foxs xmen sequel topples godzilla 907m debut,IAB1 Arts & Entertainment,0.28
us house panel requests auto recall documents gm,IAB2 Automotive,0.28
shearer godzilla isnt monster excess,IAB24 Uncategorized,0.39
animal welfare activists picket liam neesons nyc home slamming actors,IAB1 Arts & Entertainment,0.21
nick cannon shares whiteface photo promote white people party music,IAB12 News,0.19
former gma host joan lunden breast cancer,IAB12 News,0.12
bbm consideration desktop pcs says blackberry ceo,IAB3 Business,0.33
star wars spinoff made uk chancellor meets r2d2 episode vii set,IAB1 Arts & Entertainment,0.34
fda wants ban ecigarette sales minors,"IAB11 Law, Gov’t & Politics",0.4
financial press isnt telling us google tech companies,IAB24 Uncategorized,0.32
10 healthy cereals could bad kids,IAB8 Food & Drink,0.28
miley cyrus beatles fans prepare offended,IAB1 Arts & Entertainment,0.2
pound climbs uk inflation hits 19pc,IAB13 Personal Finance,0.25
kendall jenner gets punk haute couture makeover walks runway chanel,IAB18 Style & Fashion,0.54
lachlan murdoch rises top,IAB12 News,0.11
american airlines longer listing orbitz,IAB20 Travel,0.31
amazon paying workers 5000 quit,IAB3 Business,0.38
brazil follows irs lead declares bitcoin capital gains taxable,"IAB11 Law, Gov’t & Politics",0.24
stocks ease back record highs,IAB3 Business,0.13
american idol season 13 winner 5 fun facts caleb johnson,IAB1 Arts & Entertainment,0.27
ireland fails reach eurovision final first time since 2009,IAB24 Uncategorized,0.13
facebooks ask button allows friends bug single,IAB9 Hobbies & Interests,0.1
dancing stars season finale night 2 1811,IAB1 Arts & Entertainment,0.5
bittersweet moments amid rock roll hall fames celebration,IAB1 Arts & Entertainment,0.18
divesting coal good intention bad decision,IAB14 Society,0.22
stream replacements live coachella,IAB1 Arts & Entertainment,0.44
fist bumps cleaner handshakes,IAB24 Uncategorized,0.1
yahoo make two tv shows,IAB1 Arts & Entertainment,0.14
death toll ebola outbreak soars 467,IAB12 News,0.21
sofia vergara nick loeb call engagement,IAB1 Arts & Entertainment,0.2
boseman shines get wvideo,IAB1 Arts & Entertainment,0.17
iphone 6 tipped come two sizes september,IAB19 Technology & Computing,0.12
prices rise 02 year march cso,IAB14 Society,0.16
erste sees retail lending legislation hungary raising risk costs,IAB12 News,0.15
oculus undergo facebook rebrand report claims,IAB24 Uncategorized,0.25
amd acquires architectural license arm talks project skybridge 64,IAB19 Technology & Computing,0.19
chris martin taken mentor role us,IAB4 Careers,0.08
pbss ifill fails ask geithner admission wh asked lie tv,IAB12 News,0.22
hilarious moment sixyearold boy learns hes getting third younger sister,IAB6 Family & Parenting,0.29
galaxy tab might ipad killer samsung waiting,IAB19 Technology & Computing,0.38
kim kanyes wedding imminent instagram,IAB1 Arts & Entertainment,0.14
dina lohan pleads guilty dwi,IAB12 News,0.19
heartbroken mick jagger hides hotel bedroom news lwren scotts,IAB12 News,0.75
puff puff pass americans smoking pot,IAB14 Society,0.18
tesla needs blowout numbers crash earnings tonight,IAB3 Business,0.22
tesla toughens model underbody prevent battery fires,IAB2 Automotive,0.18
cinco de mayo scenes,IAB24 Uncategorized,0.08
us regulators finalize 6 percent leverage rule biggest banks,IAB3 Business,0.22
justin bieber nosy paparazzo dont talk selena gomez,IAB12 News,0.29
ny homeless hit chinese tycoons publicity stunt,IAB12 News,0.25
jupiters great red spot shrinking alarming rate massive storm,IAB12 News,0.14
rapper snoop doggs uncle dies,IAB16 Pets,0.17
thai economy shrank 21pc q1 2014 political unrest threatens recession,"IAB11 Law, Gov’t & Politics",0.18
aol looks data breach says user data compromised,IAB12 News,0.22
reds offense continues sputter 15 inning loss,IAB17 Sports,0.48
chad kroegers suckiness rubbing avril lavigne,IAB17 Sports,0.09
international day happiness abc 7,IAB12 News,0.53
pop charts aussie boy band 5 seconds summer huge debut number 1,IAB12 News,0.22
frigid winter little ease lyme disease worries,IAB12 News,0.11
stocks end higher reporting us corporate earnings nears end dow ekes,IAB3 Business,0.44
police man 86 kills grandsons girlfriend self,IAB6 Family & Parenting,0.41
gm ceo says doesnt know took long fix ignition,IAB2 Automotive,0.18
orange new black first season 2 trailer previews nextlevel crazy,IAB1 Arts & Entertainment,0.17
investigators eye aircraft controls accident kiiitvcom south texas corpus,IAB12 News,0.41
dinosaurs combined warm cold blood new study,IAB15 Science,0.43
trustees project 15 percent increase social security,IAB14 Society,0.48
jet magazine ends print run become digital app,IAB3 Business,0.12
jupiter ascending new trailer unveils amazing scifi world video,IAB24 Uncategorized,0.09
stocks unchanged big rally,IAB24 Uncategorized,0.29
us demands 10 bn citi mortgage bonds report,IAB3 Business,0.22
bitcoin exchange mt gox finds 119 million missing bitcoins,IAB3 Business,0.15
mick jagger remembers best friend lwren,IAB17 Sports,0.07
philips announces plans spin led business,IAB3 Business,0.63
facebook launches connectivity lab create new aerospace,IAB19 Technology & Computing,0.17
climate may awkward abbott obama climate mps,IAB24 Uncategorized,0.32
ebola spread guinea capital raises fears,IAB12 News,0.16
peace corps volunteers isolation ebola exposure,IAB24 Uncategorized,0.12
jobless numbers continue falling,IAB12 News,0.2
walmart discounts iphones,IAB22 Shopping,0.21
miley cyrus gets high records beatles cover flaming lips,IAB1 Arts & Entertainment,0.27
foursquare introduces swarm dedicated app checkins,IAB24 Uncategorized,0.11
alternative energy biz megabullish indias narendra modi,IAB3 Business,0.65
zendaya coleman backs aaliyah biopic production hold,IAB1 Arts & Entertainment,0.28
rough winter leads holiday travelers,IAB20 Travel,0.57
ubss firstquarter adjusted 1 profit tax 97 chf 15 billion,IAB3 Business,0.16
blackberry steadies ship smartphone sales continue evaporate,IAB19 Technology & Computing,0.17
york fast obamacare good news,IAB12 News,0.85
shire abbvie announces 53 billion merger,IAB14 Society,0.3
target ceo breach,IAB3 Business,0.14
google announces smart contact lens partner,IAB19 Technology & Computing,0.25
fly spacious skies private bath bedroom airline,IAB20 Travel,0.71
malaysia airlines flight 370,IAB20 Travel,0.28
googles driverless cars mastering city streets motorways,IAB2 Automotive,0.34
source fbi probe herbalife marketing,IAB8 Food & Drink,0.14
oregons jobless rate falls 69 percent,IAB12 News,0.15
spotify signs 10 millionth paying subscriber,IAB19 Technology & Computing,0.11
ebola spread countries africa,IAB12 News,0.12
rescuers free 3 trapped honduran miners 8 still missing,IAB12 News,0.22
facebooks social experiments appear far extensive nowinfamous,IAB14 Society,0.19
wise owl friday selection,IAB1 Arts & Entertainment,0.09
economy shrinks 29 frosty first quarter,IAB3 Business,0.28
apple launches retina macbook pros faster haswell processors,IAB19 Technology & Computing,0.47
andre johnson wutang affiliate severs penis suicide attempt video,IAB12 News,0.28
ebola confirmed liberia guinea death toll rises,IAB12 News,0.16
google inc goog shutting orkut sept 30th,IAB19 Technology & Computing,0.26
rebased gdp effect welfare nigerians nlc,IAB14 Society,0.18
new footage godzilla debuts latest tv spot,IAB12 News,0.18
libyan rebels sign deal reopen eastern oil ports,IAB12 News,0.2
matt lauer stay today years,IAB12 News,0.09
ukraine airliner crash updates,IAB12 News,0.24
jay z beyoncé solange get spoofed saturday night live,IAB1 Arts & Entertainment,0.24
researchers study male babies generally worse outcomes females,IAB15 Science,0.63
australia japan reach trade deal,IAB12 News,0.19
dozens taken hospital boston concert,IAB1 Arts & Entertainment,0.42
mcdonalds reports february global comparable sales,IAB3 Business,0.37
aolcom article apple close buying beats electronics 32 billion,IAB12 News,0.2
update 3valeant shares fall lowered 2014 2015 forecasts,IAB12 News,0.22
honduran gold mine caves 8 rescued 3 remain trapped photos,IAB12 News,0.17
nokia announces 99 x2 microsoft still loves android,IAB19 Technology & Computing,0.38
mass ranks low overall prescribing opioids,IAB24 Uncategorized,0.2
shelagh rogers mowat never knew,IAB24 Uncategorized,0.1
bachelorette season 10 episode 5 stream spoilers frenchthemed,IAB9 Hobbies & Interests,0.1
diagnosis autism us 30 pct since 2012 says cdc,IAB12 News,0.22
miley cyrus explores london mom,IAB20 Travel,0.55
circus acrobat fall traced failed clamp,IAB1 Arts & Entertainment,0.6
us lawmakers push passage mental illness laws santa barbara,"IAB11 Law, Gov’t & Politics",0.34
kim kardashian goes prewedding spree,IAB18 Style & Fashion,0.14
sketches doves newest experiment beauty patch,IAB10 Home & Garden,0.11
mariah carey steps kids nick cannon wears saved baseball cap,IAB6 Family & Parenting,0.17
10 essential apps need install new samsung galaxy s5,IAB19 Technology & Computing,0.27
samsung gear 2 gear fit prices revealed taiwan,IAB13 Personal Finance,0.11
china bars windows 8 new government computers,IAB19 Technology & Computing,0.4
imperial capital analyst warns jc penney may issue added equity restructure,IAB3 Business,0.25
biological basis magic mushrooms mindexpansion revealed,IAB15 Science,0.31
car recalls,IAB2 Automotive,0.74
kanye west sparks feud rumors dropping jayzs name song lyrics,IAB12 News,0.22
gameseek xbox one fifa 14 bundle special coming week,IAB17 Sports,0.67
shia labeouf actor insists hes famous makes public mess ends,IAB12 News,0.15
net neutrality supporters arrested google,IAB19 Technology & Computing,0.21
general motors announces still recalls,IAB2 Automotive,0.35
lena dunham lena dunham lord rings stars add tributes,IAB1 Arts & Entertainment,0.17
community cancelled nbc,IAB12 News,0.63
neil youngs pono music player hits kickstarter discount,IAB9 Hobbies & Interests,0.21
michael bays ninja turtles official trailer featuring megan fox,IAB1 Arts & Entertainment,0.28
highstakes negotiations japan trade deal,IAB3 Business,0.3
third divergent book split two movies,IAB24 Uncategorized,0.18
abbvie buys drugmaker shire 54 billion,IAB3 Business,0.47
insurance institute highway safety recommends best cars teens,IAB2 Automotive,0.23
yellow nexus 5 samsung galaxy s5 gpe discovered googles android portal,IAB19 Technology & Computing,0.41
game thrones top 5 worst things king joffrey ever,IAB24 Uncategorized,0.14
video first look andrew garfield stars arcade fires exist music,IAB1 Arts & Entertainment,0.22
oregon patients find much medicare paid doctor database,IAB12 News,0.16
kiefer sutherland responds freddie prinze jr claims unprofessional,IAB12 News,0.12
recent interview sopranos creator david chase indicates tony soprano,IAB4 Careers,0.17
takeda overcomes safety questions wins fda ok ibd drug vedolizumab,IAB12 News,0.24
giant waves arctic ocean pose new threats icewaterair system,IAB15 Science,0.15
oracle acquire micros,IAB24 Uncategorized,0.1
bachelorette andi dorfman gets engaged josh murray finale,IAB12 News,0.22
lindsay lohan make stage debut,IAB1 Arts & Entertainment,0.31
cancelled brooks gigs carter rep says weve heard nothing,IAB3 Business,0.28
harrison ford injured set star wars expected survive,IAB12 News,0.16
blackberry clinches initial win typo keyboard case,IAB24 Uncategorized,0.2
health department detects west nile local mosquitoes,IAB12 News,0.16
update 1ousted american apparel ceo charney reports 43 stake,IAB3 Business,0.33
win two tickets see captain america winter soldier imax,IAB1 Arts & Entertainment,0.46
every mit student begin next semester 100 bitcoins type,IAB5 Education,0.08
chia powder brands recalled due salmonella link,IAB8 Food & Drink,0.16
trapped honduras miners rescued eight still missing,IAB12 News,0.32
veep set return screens hit show gets fourth season,IAB1 Arts & Entertainment,0.35
contagious yawning associated emotions unexplained issues,IAB24 Uncategorized,0.41
lady gaga guy artpop film music video,IAB1 Arts & Entertainment,0.41
malaysia airlines considers rebrand,IAB24 Uncategorized,0.18
googles nest labs offers 555m acquire dropcam,IAB19 Technology & Computing,0.22
830000 sign petition mandatory drug testing doctors,IAB12 News,0.18
president obama creating task force save bee population,IAB12 News,0.27
george clooney gets heated altercation las vegas,IAB12 News,0.17
kardashians rent 14m hamptons home,IAB21 Real Estate,0.35
varying rates observation management prostate cancer,IAB24 Uncategorized,0.13
hundreds protest near mcdonalds headquarters oak brook several arrested,IAB8 Food & Drink,0.5
court allows raging bull lawsuit go forward,IAB24 Uncategorized,0.18
return mad men,IAB24 Uncategorized,0.2
facebook suffers global outage human lives briefly restored,IAB24 Uncategorized,0.14
pfizer withdraws 69bn bid astrazeneca,IAB4 Careers,0.13
bobby womack soul god dies 70,IAB23 Religion & Spirituality,0.27
true detectives second season feature lesser known part california,IAB24 Uncategorized,0.13
gwyneth paltrow chris martin sang kids school split,IAB5 Education,0.24
general motors recalls 971000 small cars possible faulty ignition switches,IAB2 Automotive,0.54
sanofi sny lilly lly enter licensing agreement covering otc cialis,IAB3 Business,0.23
sitting much could linked cancer,IAB24 Uncategorized,0.24
lifetime whitney houston movie angela bassett,IAB1 Arts & Entertainment,0.2
factbox eu targets politicians military chiefs sanctions russia,"IAB11 Law, Gov’t & Politics",0.3
bayer buys merck cos consumer care business 14 billion,IAB3 Business,0.57
amazon nasdaqamzn hbo nysetwx announce streaming deal,IAB3 Business,0.18
brooke birmingham wont shamed weight loss,IAB12 News,0.34
morgan stanley feels cautious caterpillar ahead 1q14 earnings,IAB3 Business,0.26
courtney love dave grohlbury hatchet hall offame,IAB1 Arts & Entertainment,0.12
candy crush maker kings stock tanking,IAB24 Uncategorized,0.13
community lives see season 6,IAB14 Society,0.17
scientists find egg sperm fuse,IAB15 Science,0.71
jpmorgan posts weaker expected profit trading revenue falls,IAB3 Business,0.45
climate change everyones duty,IAB14 Society,0.38
jet lag app math youll feel better faster,IAB19 Technology & Computing,0.2
game thrones season 4 spoilers hound proving highlight episode 3,IAB12 News,0.13
whats american idol rehearsal really like zap2it sits keith urban,IAB1 Arts & Entertainment,0.17
white house assessment calls urgent action climate change,IAB12 News,0.26
say google translates text chrome emoji april,IAB12 News,0.1
carney revamps bank england says avoid past flaws,IAB3 Business,0.62
chelsea fc pay tribute richard attenborough,IAB17 Sports,0.24
jonah hill apologizes yelling homophobic slur paparazzi,IAB12 News,0.2
google fit challenge apple samsung healthtracking arena,IAB7 Health & Fitness,0.48
ebay hacked change password,IAB3 Business,0.38
rapper young jeezy arrested assault rifle probe shoreline,IAB12 News,0.23
irs issues virtual currency tax guidance,"IAB11 Law, Gov’t & Politics",0.18
heartbleed bug threat spreads firewalls beyond,IAB12 News,0.14
new update flickr,IAB12 News,0.26
jessica alba among jessica simpsons wedding guests,IAB1 Arts & Entertainment,0.19
smile face face colourful galactic kids pose hubble,IAB6 Family & Parenting,0.24
brady bunch actress ann b davis dies,IAB1 Arts & Entertainment,0.2
