text,iab_label,confidence,source,labels
latest news on religion qabiao religion,IAB23 Religion & Spirituality,0.9,synthetic,
reviews about religion ijun,IAB23 Religion & Spirituality,0.9,synthetic,
why choose religion tantrakaulanewar hinduism,IAB23 Religion & Spirituality,0.9,synthetic,
best religion old calendarists tips,IAB23 Religion & Spirituality,0.9,synthetic,
why choose religion ohigashi,IAB23 Religion & Spirituality,0.9,synthetic,
introduction to religion marcionism,IAB23 Religion & Spirituality,0.9,synthetic,
why choose religion rātana,IAB23 Religion & Spirituality,0.9,synthetic,
how to use religion kaulanewar hinduism,IAB23 Religion & Spirituality,0.9,synthetic,
reviews about religion creation spirituality,IAB23 Religion & Spirituality,0.9,synthetic,
reviews about religion rinzai,IAB23 Religion & Spirituality,0.9,synthetic,
how to use religion korean taoism,IAB23 Religion & Spirituality,0.9,synthetic,
why choose religion mangarevan narrative,IAB23 Religion & Spirituality,0.9,synthetic,
introduction to religion radical faeries,IAB23 Religion & Spirituality,0.9,synthetic,
introduction to religion burusho shamanism,IAB23 Religion & Spirituality,0.9,synthetic,
guide to religion gayomarthians,IAB23 Religion & Spirituality,0.9,synthetic,
benefits of religion mazatec religion,IAB23 Religion & Spirituality,0.9,synthetic,
guide to religion archeosophical society,IAB23 Religion & Spirituality,0.9,synthetic,
best religion qemant judaism tips,IAB23 Religion & Spirituality,0.9,synthetic,
latest news on religion persian mysticism,IAB23 Religion & Spirituality,0.9,synthetic,
best religion fukkotaikyōizumo-taishakyo tips,IAB23 Religion & Spirituality,0.9,synthetic,
why choose religion tijaniyyah,IAB23 Religion & Spirituality,0.9,synthetic,
why choose religion wetu telu,IAB23 Religion & Spirituality,0.9,synthetic,
reviews about religion kogi religion,IAB23 Religion & Spirituality,0.9,synthetic,
why choose religion maronite church,IAB23 Religion & Spirituality,0.9,synthetic,
latest news on religion ramsnehi sampradaya,IAB23 Religion & Spirituality,0.9,synthetic,
how to use latter-day saints,IAB23 Religion & Spirituality,0.9,synthetic,
Hinduism,IAB23 Religion & Spirituality,0.76,subcategories,
Buddhism,IAB23 Religion & Spirituality,0.76,subcategories,
Pagan/Wiccan,IAB23 Religion & Spirituality,0.76,subcategories,
Latter-Day Saints,IAB23 Religion & Spirituality,0.76,subcategories,
Judaism,IAB23 Religion & Spirituality,0.76,subcategories,
Atheism/Agnosticism,IAB23 Religion & Spirituality,0.76,subcategories,
Christianity,IAB23 Religion & Spirituality,0.76,subcategories,
Islam,IAB23 Religion & Spirituality,0.76,subcategories,
Alternative Religions,IAB23 Religion & Spirituality,0.76,subcategories,
Catholicism,IAB23 Religion & Spirituality,0.76,subcategories,
religion secularismjewish secularismsecular buddhismsecular paganismsecular religionsecular spiritualitysecular theology,IAB23 Religion & Spirituality,0.68,scraped,
religion christian agnosticism,IAB23 Religion & Spirituality,0.68,scraped,
religion agnostic theism,IAB23 Religion & Spirituality,0.68,scraped,
religion agnostic atheism,IAB23 Religion & Spirituality,0.68,scraped,
religion transtheism,IAB23 Religion & Spirituality,0.68,scraped,
religion transhumanismcosmismterasemtheta noir,IAB23 Religion & Spirituality,0.68,scraped,
religion theothanatology,IAB23 Religion & Spirituality,0.68,scraped,
religion practical atheism,IAB23 Religion & Spirituality,0.68,scraped,
religion jewish atheism,IAB23 Religion & Spirituality,0.68,scraped,
religion theopanism,IAB23 Religion & Spirituality,0.68,scraped,
religion syntheism,IAB23 Religion & Spirituality,0.68,scraped,
religion church of humanity,IAB23 Religion & Spirituality,0.68,scraped,
religion rational mysticism,IAB23 Religion & Spirituality,0.68,scraped,
religion post-theism,IAB23 Religion & Spirituality,0.68,scraped,
religion pantheismclassical pantheismcosmotheismnaturalistic pantheism,IAB23 Religion & Spirituality,0.68,scraped,
religion panentheismprocess theology,IAB23 Religion & Spirituality,0.68,scraped,
religion pandeismchristian pandeism,IAB23 Religion & Spirituality,0.68,scraped,
religion moral re-armament,IAB23 Religion & Spirituality,0.68,scraped,
religion monismdialectical monismindefinite monism,IAB23 Religion & Spirituality,0.68,scraped,
religion non-theistic satanismour lady of endor covenlaveyan satanismchurch of satanfirst satanic churchthe satanic temple,IAB23 Religion & Spirituality,0.68,scraped,
religion nirīśvaravāda,IAB23 Religion & Spirituality,0.68,scraped,
religion negative and positive atheism,IAB23 Religion & Spirituality,0.68,scraped,
religion religion of humanitychurch of humanity,IAB23 Religion & Spirituality,0.68,scraped,
religion god-building,IAB23 Religion & Spirituality,0.68,scraped,
religion heaven's gate,IAB23 Religion & Spirituality,0.68,scraped,
religion irreligion,IAB23 Religion & Spirituality,0.68,scraped,
religion jewish secularism,IAB23 Religion & Spirituality,0.68,scraped,
religion landover baptist church,IAB23 Religion & Spirituality,0.68,scraped,
religion biosophy,IAB23 Religion & Spirituality,0.68,scraped,
religion unarius academy of science,IAB23 Religion & Spirituality,0.68,scraped,
religion the seekers,IAB23 Religion & Spirituality,0.68,scraped,
religion raëlism,IAB23 Religion & Spirituality,0.68,scraped,
religion mark-age,IAB23 Religion & Spirituality,0.68,scraped,
religion industrial church of the new world comforter,IAB23 Religion & Spirituality,0.68,scraped,
religion ground crew project,IAB23 Religion & Spirituality,0.68,scraped,
religion fiat lux,IAB23 Religion & Spirituality,0.68,scraped,
"religion chen tao (""true way"")",IAB23 Religion & Spirituality,0.68,scraped,
religion ashtar galactic command,IAB23 Religion & Spirituality,0.68,scraped,
religion aetherius society,IAB23 Religion & Spirituality,0.68,scraped,
religion united church of bacon,IAB23 Religion & Spirituality,0.68,scraped,
religion trekism,IAB23 Religion & Spirituality,0.68,scraped,
religion tarvuism,IAB23 Religion & Spirituality,0.68,scraped,
religion sisters of perpetual indulgence,IAB23 Religion & Spirituality,0.68,scraped,
religion silinism,IAB23 Religion & Spirituality,0.68,scraped,
religion russell's teapot,IAB23 Religion & Spirituality,0.68,scraped,
religion 'pataphysics,IAB23 Religion & Spirituality,0.68,scraped,
religion the nine divines,IAB23 Religion & Spirituality,0.68,scraped,
religion matrixism,IAB23 Religion & Spirituality,0.68,scraped,
religion last thursdayism,IAB23 Religion & Spirituality,0.68,scraped,
religion secular paganism,IAB23 Religion & Spirituality,0.68,scraped,
religion nontheist quakers,IAB23 Religion & Spirituality,0.68,scraped,
religion mahima dharma,IAB23 Religion & Spirituality,0.68,scraped,
religion religious naturalism,IAB23 Religion & Spirituality,0.68,scraped,
religion sri ramana ashramneo-advaita,IAB23 Religion & Spirituality,0.68,scraped,
religion pericues religion,IAB23 Religion & Spirituality,0.68,scraped,
religion shirdi sai baba movement,IAB23 Religion & Spirituality,0.68,scraped,
religion satsang,IAB23 Religion & Spirituality,0.68,scraped,
religion rajneesh movement,IAB23 Religion & Spirituality,0.68,scraped,
religion oneness movement,IAB23 Religion & Spirituality,0.68,scraped,
religion matua mahasangha,IAB23 Religion & Spirituality,0.68,scraped,
religion chinmaya mission,IAB23 Religion & Spirituality,0.68,scraped,
"religion xiantiandao(""way of former heaven"")guiyidao(""way of the return to the one"")shengdao(""holy way"")yaochidao(""way of the mother of pearl lake"")yiguandao(""persistent way"")haizidaoyixin tiandao(""heart-bound heavenly way"")",IAB23 Religion & Spirituality,0.68,scraped,
religion ayyavazhi,IAB23 Religion & Spirituality,0.68,scraped,
religion ananda ashrama,IAB23 Religion & Spirituality,0.68,scraped,
religion ananda,IAB23 Religion & Spirituality,0.68,scraped,
religion adi dharmbrahmoismbrahmo samajsadharan brahmo samaj,IAB23 Religion & Spirituality,0.68,scraped,
religion adidam,IAB23 Religion & Spirituality,0.68,scraped,
religion haizidao,IAB23 Religion & Spirituality,0.68,scraped,
"religion yixin tiandao(""heart-bound heavenly way"")",IAB23 Religion & Spirituality,0.68,scraped,
"religion yiguandao(""persistent way"")haizidao",IAB23 Religion & Spirituality,0.68,scraped,
"religion yaochidao(""way of the mother of pearl lake"")",IAB23 Religion & Spirituality,0.68,scraped,
"religion shengdao(""holy way"")",IAB23 Religion & Spirituality,0.68,scraped,
religion transcendental meditation,IAB23 Religion & Spirituality,0.68,scraped,
religion brahmoismbrahmo samajsadharan brahmo samaj,IAB23 Religion & Spirituality,0.68,scraped,
religion brahmo samajsadharan brahmo samaj,IAB23 Religion & Spirituality,0.68,scraped,
religion sadharan brahmo samaj,IAB23 Religion & Spirituality,0.68,scraped,
religion kibology,IAB23 Religion & Spirituality,0.68,scraped,
religion sri aurobindo ashram,IAB23 Religion & Spirituality,0.68,scraped,
religion swaminarayan sampradayabochasanwasi akshar purushottam swaminarayan sansthalaxmi narayan dev gadiinternational swaminarayan satsang mandalswaminarayan gurukulnar narayan dev gadiinternational swaminarayan satsang organisationnarnarayan dev yuvak mandalswaminarayan gadi (maninagar)swaminarayan mandir vasna sanstha,IAB23 Religion & Spirituality,0.68,scraped,
religion naturalistic pantheism,IAB23 Religion & Spirituality,0.68,scraped,
religion mahanam sampraday,IAB23 Religion & Spirituality,0.68,scraped,
religion cosmotheism,IAB23 Religion & Spirituality,0.68,scraped,
religion classical pantheism,IAB23 Religion & Spirituality,0.68,scraped,
religion process theology,IAB23 Religion & Spirituality,0.68,scraped,
religion christian pandeism,IAB23 Religion & Spirituality,0.68,scraped,
religion indefinite monism,IAB23 Religion & Spirituality,0.68,scraped,
religion dialectical monism,IAB23 Religion & Spirituality,0.68,scraped,
religion first satanic church,IAB23 Religion & Spirituality,0.68,scraped,
religion church of satan,IAB23 Religion & Spirituality,0.68,scraped,
religion the satanic temple,IAB23 Religion & Spirituality,0.68,scraped,
religion laveyan satanismchurch of satanfirst satanic church,IAB23 Religion & Spirituality,0.68,scraped,
religion our lady of endor coven,IAB23 Religion & Spirituality,0.68,scraped,
religion theistic humanism,IAB23 Religion & Spirituality,0.68,scraped,
religion secular humanism,IAB23 Religion & Spirituality,0.68,scraped,
religion renaissance humanism,IAB23 Religion & Spirituality,0.68,scraped,
religion religious humanism,IAB23 Religion & Spirituality,0.68,scraped,
religion ethical movement,IAB23 Religion & Spirituality,0.68,scraped,
religion christian humanism,IAB23 Religion & Spirituality,0.68,scraped,
religion north texas church of freethought,IAB23 Religion & Spirituality,0.68,scraped,
religion spiritual naturalism,IAB23 Religion & Spirituality,0.68,scraped,
religion spiritual ecology,IAB23 Religion & Spirituality,0.68,scraped,
religion union of slavic native belief communities,IAB23 Religion & Spirituality,0.68,scraped,
religion sylenkoism,IAB23 Religion & Spirituality,0.68,scraped,
religion rodnover confederation,IAB23 Religion & Spirituality,0.68,scraped,
religion kopimism,IAB23 Religion & Spirituality,0.68,scraped,
religion summum,IAB23 Religion & Spirituality,0.68,scraped,
religion jediism,IAB23 Religion & Spirituality,0.68,scraped,
religion philosophical theism,IAB23 Religion & Spirituality,0.68,scraped,
religion santo daime,IAB23 Religion & Spirituality,0.68,scraped,
religion healing church in rhode island,IAB23 Religion & Spirituality,0.68,scraped,
religion ignosticism,IAB23 Religion & Spirituality,0.68,scraped,
religion huna,IAB23 Religion & Spirituality,0.68,scraped,
religion temple of priapus,IAB23 Religion & Spirituality,0.68,scraped,
religion technopaganism,IAB23 Religion & Spirituality,0.68,scraped,
religion diamond way buddhism,IAB23 Religion & Spirituality,0.68,scraped,
religion stregheria,IAB23 Religion & Spirituality,0.68,scraped,
religion ringing cedars' anastasianism,IAB23 Religion & Spirituality,0.68,scraped,
religion radical faeries,IAB23 Religion & Spirituality,0.68,scraped,
religion neoshamanismurban shamanism,IAB23 Religion & Spirituality,0.68,scraped,
religion nature religion,IAB23 Religion & Spirituality,0.68,scraped,
religion ivanovism,IAB23 Religion & Spirituality,0.68,scraped,
religion gaianism,IAB23 Religion & Spirituality,0.68,scraped,
religion cochrane's craft,IAB23 Religion & Spirituality,0.68,scraped,
religion church of the universe,IAB23 Religion & Spirituality,0.68,scraped,
religion church of all worlds,IAB23 Religion & Spirituality,0.68,scraped,
religion christopaganismchristian wicca,IAB23 Religion & Spirituality,0.68,scraped,
religion brauchau,IAB23 Religion & Spirituality,0.68,scraped,
religion adonism,IAB23 Religion & Spirituality,0.68,scraped,
religion udmurt vos,IAB23 Religion & Spirituality,0.68,scraped,
religion mastorava,IAB23 Religion & Spirituality,0.68,scraped,
religion hungarian neopaganism,IAB23 Religion & Spirituality,0.68,scraped,
religion neo-revelationism,IAB23 Religion & Spirituality,0.68,scraped,
religion theistic naturalism,IAB23 Religion & Spirituality,0.68,scraped,
religion secular religion,IAB23 Religion & Spirituality,0.68,scraped,
religion cult of the supreme being,IAB23 Religion & Spirituality,0.68,scraped,
religion tensegrity,IAB23 Religion & Spirituality,0.68,scraped,
religion temple of the true inner light,IAB23 Religion & Spirituality,0.68,scraped,
religion egotheism,IAB23 Religion & Spirituality,0.68,scraped,
religion henotheism,IAB23 Religion & Spirituality,0.68,scraped,
religion kathenotheism,IAB23 Religion & Spirituality,0.68,scraped,
religion liberal theism,IAB23 Religion & Spirituality,0.68,scraped,
religion hylotheism,IAB23 Religion & Spirituality,0.68,scraped,
religion humanismchristian humanismethical movementhumanistic judaismreligious humanismrenaissance humanismsecular humanismtheistic humanism,IAB23 Religion & Spirituality,0.68,scraped,
religion freethoughtnorth texas church of freethought,IAB23 Religion & Spirituality,0.68,scraped,
religion ecospiritualitybiosophyreligious naturalismspiritual ecologyspiritual naturalism,IAB23 Religion & Spirituality,0.68,scraped,
religion cultural muslims,IAB23 Religion & Spirituality,0.68,scraped,
religion cultural hindus,IAB23 Religion & Spirituality,0.68,scraped,
religion cultural christians,IAB23 Religion & Spirituality,0.68,scraped,
religion cult of reason,IAB23 Religion & Spirituality,0.68,scraped,
religion christian atheismnontheist quakers,IAB23 Religion & Spirituality,0.68,scraped,
religion apatheismpractical atheism,IAB23 Religion & Spirituality,0.68,scraped,
religion agnosticismagnostic atheismagnostic theismchristian agnosticismgod-building,IAB23 Religion & Spirituality,0.68,scraped,
religion adevism,IAB23 Religion & Spirituality,0.68,scraped,
religion theophilanthropy,IAB23 Religion & Spirituality,0.68,scraped,
religion spinozism,IAB23 Religion & Spirituality,0.68,scraped,
religion moralistic therapeutic deism,IAB23 Religion & Spirituality,0.68,scraped,
religion gottgläubig,IAB23 Religion & Spirituality,0.68,scraped,
religion enlightenment deism,IAB23 Religion & Spirituality,0.68,scraped,
religion suomenusko,IAB23 Religion & Spirituality,0.68,scraped,
religion estonian neopaganism,IAB23 Religion & Spirituality,0.68,scraped,
religion ynglism,IAB23 Religion & Spirituality,0.68,scraped,
religion wiccabritish traditional wiccaalexandrian wiccaalgard wiccablue star wiccacentral valley wiccachthonioi alexandrian wiccagardnerian wiccaceltic wiccafaery wiccaferi traditiongeorgian wiccaodyssean wiccaseax-wicauniversal eclectic wiccawiccan churches,IAB23 Religion & Spirituality,0.68,scraped,
religion daheshism,IAB23 Religion & Spirituality,0.68,scraped,
religion church of the subgenius,IAB23 Religion & Spirituality,0.68,scraped,
religion invisible pink unicorn,IAB23 Religion & Spirituality,0.68,scraped,
religion intelligent falling,IAB23 Religion & Spirituality,0.68,scraped,
religion iglesia maradoniana,IAB23 Religion & Spirituality,0.68,scraped,
religion first church of the last laugh,IAB23 Religion & Spirituality,0.68,scraped,
religion eventualism,IAB23 Religion & Spirituality,0.68,scraped,
religion earthseed,IAB23 Religion & Spirituality,0.68,scraped,
religion dudeism,IAB23 Religion & Spirituality,0.68,scraped,
religion discordianism,IAB23 Religion & Spirituality,0.68,scraped,
religion dinkoism,IAB23 Religion & Spirituality,0.68,scraped,
religion the cult of kek,IAB23 Religion & Spirituality,0.68,scraped,
"religion church of the flying spaghetti monster(a.k.a. ""pastafarianism"")",IAB23 Religion & Spirituality,0.68,scraped,
religion secular buddhism,IAB23 Religion & Spirituality,0.68,scraped,
religion church of euthanasia,IAB23 Religion & Spirituality,0.68,scraped,
religion the cause,IAB23 Religion & Spirituality,0.68,scraped,
religion bokononism,IAB23 Religion & Spirituality,0.68,scraped,
"religion the all-joking, all-drunken synod of fools and jesters",IAB23 Religion & Spirituality,0.68,scraped,
religion theta noir,IAB23 Religion & Spirituality,0.68,scraped,
religion terasem,IAB23 Religion & Spirituality,0.68,scraped,
religion cosmism,IAB23 Religion & Spirituality,0.68,scraped,
religion secular theology,IAB23 Religion & Spirituality,0.68,scraped,
religion secular spirituality,IAB23 Religion & Spirituality,0.68,scraped,
religion implicit and explicit atheism,IAB23 Religion & Spirituality,0.68,scraped,
religion ietsism,IAB23 Religion & Spirituality,0.68,scraped,
religion celtic wicca,IAB23 Religion & Spirituality,0.68,scraped,
religion gardnerian wicca,IAB23 Religion & Spirituality,0.68,scraped,
religion christian wicca,IAB23 Religion & Spirituality,0.68,scraped,
religion urban shamanism,IAB23 Religion & Spirituality,0.68,scraped,
religion british traditional wiccaalexandrian wiccaalgard wiccablue star wiccacentral valley wiccachthonioi alexandrian wiccagardnerian wicca,IAB23 Religion & Spirituality,0.68,scraped,
religion faerie faith,IAB23 Religion & Spirituality,0.68,scraped,
religion dianic wiccafaerie faith,IAB23 Religion & Spirituality,0.68,scraped,
religion covenant of the goddess,IAB23 Religion & Spirituality,0.68,scraped,
religion reclaiming,IAB23 Religion & Spirituality,0.68,scraped,
religion goddess wiccacovenant of the goddessdianic wiccafaerie faith,IAB23 Religion & Spirituality,0.68,scraped,
religion feraferia,IAB23 Religion & Spirituality,0.68,scraped,
religion church of aphrodite,IAB23 Religion & Spirituality,0.68,scraped,
religion chthonioi alexandrian wicca,IAB23 Religion & Spirituality,0.68,scraped,
religion faery wicca,IAB23 Religion & Spirituality,0.68,scraped,
religion central valley wicca,IAB23 Religion & Spirituality,0.68,scraped,
religion blue star wicca,IAB23 Religion & Spirituality,0.68,scraped,
religion algard wicca,IAB23 Religion & Spirituality,0.68,scraped,
religion alexandrian wicca,IAB23 Religion & Spirituality,0.68,scraped,
religion wiccan churches,IAB23 Religion & Spirituality,0.68,scraped,
religion universal eclectic wicca,IAB23 Religion & Spirituality,0.68,scraped,
religion seax-wica,IAB23 Religion & Spirituality,0.68,scraped,
religion odyssean wicca,IAB23 Religion & Spirituality,0.68,scraped,
religion georgian wicca,IAB23 Religion & Spirituality,0.68,scraped,
religion feri tradition,IAB23 Religion & Spirituality,0.68,scraped,
religion falun gong,IAB23 Religion & Spirituality,0.68,scraped,
religion humanistic buddhism,IAB23 Religion & Spirituality,0.68,scraped,
religion đạo bửu sơn kỳ hươnghòa hảotứ ân hiếu nghĩa,IAB23 Religion & Spirituality,0.68,scraped,
religion anandamayee sangha,IAB23 Religion & Spirituality,0.68,scraped,
religion tứ ân hiếu nghĩa,IAB23 Religion & Spirituality,0.68,scraped,
religion hòa hảo,IAB23 Religion & Spirituality,0.68,scraped,
religion won buddhism,IAB23 Religion & Spirituality,0.68,scraped,
religion true buddha school,IAB23 Religion & Spirituality,0.68,scraped,
religion triratna buddhist community,IAB23 Religion & Spirituality,0.68,scraped,
religion soka gakkai,IAB23 Religion & Spirituality,0.68,scraped,
religion shinnyo-en,IAB23 Religion & Spirituality,0.68,scraped,
religion shambhala buddhism,IAB23 Religion & Spirituality,0.68,scraped,
religion rimé movement,IAB23 Religion & Spirituality,0.68,scraped,
religion reiyūkairisshō kōsei kai,IAB23 Religion & Spirituality,0.68,scraped,
religion satya dharma,IAB23 Religion & Spirituality,0.68,scraped,
religion share international,IAB23 Religion & Spirituality,0.68,scraped,
religion world divine light(sekai mahikari bunmei kyōdan),IAB23 Religion & Spirituality,0.68,scraped,
religion subud,IAB23 Religion & Spirituality,0.68,scraped,
religion sukyo mahikari,IAB23 Religion & Spirituality,0.68,scraped,
religion hikari no wa,IAB23 Religion & Spirituality,0.68,scraped,
religion aleph,IAB23 Religion & Spirituality,0.68,scraped,
religion zenrinkyo,IAB23 Religion & Spirituality,0.68,scraped,
religion tenshō kōtai jingūkyō,IAB23 Religion & Spirituality,0.68,scraped,
